cluster,id
7,27205
7,157336
7,155
44,19995
11,24428
7,293660
44,299536
18,550
7,118340
18,680
7,13
7,671
7,1726
7,68718
18,278
44,299534
7,603
44,597
7,475557
7,120
7,122
7,11324
7,106646
11,99861
11,271110
11,49026
11,68721
11,284054
7,284052
7,76341
18,16869
7,70160
7,315635
7,672
7,283995
7,121
7,1771
7,297761
7,673
7,10195
7,10138
7,272
7,284053
7,150540
11,135397
18,807
7,674
7,22
11,12445
7,11
7,297762
7,14160
7,102899
18,238
7,286217
18,105
44,140607
44,634649
7,675
11,767
7,263115
7,12
7,346364
18,245891
7,259316
11,12444
7,354912
7,100402
7,557
7,10681
18,210577
11,49051
7,585
18,862
7,281957
11,209112
7,8587
7,98
18,37165
7,9806
18,329865
7,76338
11,1930
18,381288
7,383498
18,694
18,24
7,101299
18,419430
18,205596
7,424694
8,497
18,198663
18,18785
18,1891
0,808
7,2062
18,207703
18,313369
11,109445
7,374720
11,269149
18,240832
7,329
18,274
11,321612
11,58
7,177572
18,75656
7,131631
7,335983
18,1124
7,6479
8,857
11,299537
18,339403
8,424
18,1892
11,429617
11,37724
0,49047
16,127585
16,333339
16,72190
18,640
11,330459
11,181808
16,49521
0,20352
16,558
18,324857
0,118
18,244786
8,1422
18,120467
11,10193
18,77
18,38
18,101
18,44214
18,752
7,1893
18,152601
11,285
11,122917
18,500
8,273248
18,348
0,10528
11,12155
11,1865
11,559
18,447332
11,297802
18,393
0,920
0,863
0,607
16,137113
0,1271
0,353486
18,78
7,1895
18,324786
18,8966
16,62177
16,363088
16,102651
18,274870
0,87827
18,264660
16,102382
8,335984
0,425
16,1894
16,141052
11,57158
8,466272
16,246655
18,194662
18,157350
0,190859
0,10191
11,260513
18,162
18,324552
16,49538
18,185
8,4922
18,218
18,165
0,280
18,769
18,64690
16,68726
16,131634
0,82690
18,141
0,72105
8,64682
0,277834
18,399055
18,85
18,19908
11,127380
18,296096
0,530915
18,398818
18,82693
0,809
16,14161
8,240
18,14
0,70981
18,37799
16,166426
18,546554
18,489
0,216015
18,350
18,103
18,332562
18,228150
30,1724
18,23483
0,2048
18,6977
0,61791
0,161
0,745
8,111
8,146233
18,73
18,138843
18,222935
18,11036
18,76203
18,62
18,49530
0,812
18,490132
16,38757
8,8358
43,36657
0,93456
0,9502
16,1858
0,601
18,8681
11,351286
18,115
16,119450
18,207
16,338952
18,562
43,291805
18,771
16,604
0,953
18,266856
18,242582
16,82992
43,75612
0,310
18,13223
11,168259
0,211672
16,36557
43,18
18,12405
16,62211
40,51876
16,206647
40,84892
43,8844
44,76600
16,411
30,2080
40,1359
0,45243
43,58574
11,337339
43,458156
16,293167
18,196
16,41154
43,294254
18,600
43,495764
43,64688
18,510
40,59967
40,629
8,1949
0,787
0,343668
18,578
0,1593
43,262500
8,453
30,508442
16,438631
18,359940
0,36658
43,854
43,283366
16,652
40,19913
8,197
16,13475
0,89
16,497698
40,539
43,392044
0,608
40,405774
16,56292
43,9799
8,791373
0,580489
40,641
18,1402
16,605
11,301528
0,950
16,399566
11,330457
11,181812
18,5915
40,627
16,36668
0,76170
18,381284
0,8960
0,82702
0,10674
43,454626
0,602
18,70
0,316029
43,287947
43,9738
18,679
16,577922
40,515001
40,17654
40,264644
43,772
16,591
43,2501
0,18239
43,568124
43,9741
16,54138
16,414906
0,9487
43,47971
30,337404
43,87
8,13183
40,9479
16,566525
16,399579
16,124905
0,50620
8,423
43,564
40,176
40,318846
0,810
40,107
43,138832
0,50619
0,24021
43,68724
40,3933
16,177677
18,45269
43,156022
40,620
43,109439
0,954
40,466282
0,76492
0,254128
16,281338
8,474350
40,300668
8,180
40,152532
16,453395
16,8373
0,512200
40,10625
16,348350
16,87101
40,158015
40,391713
40,273481
30,464052
43,126889
40,450465
40,537915
40,122906
43,402900
40,50646
43,259693
40,314365
40,747
43,68734
0,330
11,38356
0,74
43,744
40,45612
30,436969
0,8355
40,63
16,278927
0,328111
43,550988
40,389
16,217
30,508943
43,315837
11,91314
0,51497
43,39254
43,38700
11,361743
43,339846
40,187
8,50014
16,353081
43,337167
30,58595
16,524434
8,28
40,2108
43,187017
0,335797
40,198184
0,435
0,35
40,406997
40,50544
40,4348
40,4951
30,1979
40,333371
43,114
30,121856
40,256591
16,95
16,10764
43,338970
40,10144
16,254
40,22970
40,275
40,106
43,341174
40,137
43,9552
43,594
0,137106
40,290250
10,646380
43,27578
40,340666
43,22538
43,268
43,336843
40,1366
43,2503
40,2105
16,49013
43,116745
43,257344
0,57800
10,487558
16,345940
40,44115
16,404368
8,1372
30,339964
43,2502
8,359724
43,32657
40,14836
10,312221
40,4638
40,454983
40,300669
43,214756
40,1954
40,493922
33,408
40,59436
43,11970
10,168672
40,395992
30,44912
43,584
40,223702
40,458723
30,44826
40,621
30,62213
0,10192
29,502356
40,7326
40,153
43,163
10,587
43,1824
43,13804
40,65
30,8871
43,363676
0,295693
0,150689
16,385128
8,83542
30,20526
40,376867
40,8363
16,384018
0,49519
40,96721
43,331
30,158852
40,195589
