cluster,id
11,27205
35,157336
79,155
125,19995
11,24428
30,293660
11,299536
6,550
11,118340
198,680
21,13
192,671
11,1726
184,68718
4,278
11,299534
43,603
0,597
10,475557
28,120
28,122
65,11324
58,106646
11,99861
11,271110
79,49026
11,68721
11,284054
28,284052
11,76341
161,16869
192,70160
11,315635
192,672
11,283995
28,121
11,1771
28,297761
192,673
28,10195
11,10138
57,272
11,284053
15,150540
55,135397
47,807
192,674
28,22
192,12445
11,11
28,297762
15,14160
11,102899
4,238
35,286217
120,105
11,140607
11,634649
192,675
192,767
43,263115
53,12
109,346364
9,245891
101,259316
192,12444
71,354912
11,100402
44,557
118,10681
65,210577
28,49051
126,585
15,862
35,281957
28,209112
53,8587
99,98
13,37165
186,9806
167,329865
28,76338
28,1930
22,381288
30,383498
22,694
97,24
11,101299
36,419430
119,205596
175,424694
4,497
105,198663
2,18785
11,1891
71,808
180,2062
24,207703
160,313369
7,109445
62,374720
15,269149
43,240832
130,329
10,274
153,321612
28,58
96,177572
198,75656
55,131631
43,335983
167,1124
112,6479
37,857
11,299537
97,339403
37,424
11,1892
11,429617
66,37724
112,49047
11,127585
11,333339
100,72190
4,640
11,330459
11,181808
11,49521
126,20352
28,558
111,324857
84,118
33,244786
10,1422
13,120467
126,10193
14,77
0,38
57,101
50,44214
63,752
11,1893
0,152601
28,285
28,122917
198,500
184,273248
17,348
117,10528
101,12155
28,1865
28,559
81,447332
28,297802
26,393
15,920
126,863
183,607
43,137113
82,1271
28,353486
112,78
11,1895
37,324786
88,8966
96,62177
11,363088
181,102651
0,274870
35,87827
68,264660
28,102382
68,335984
15,425
11,1894
11,141052
28,57158
195,466272
125,246655
13,194662
11,157350
62,190859
7,10191
186,260513
88,162
26,324552
11,49538
68,185
88,4922
63,218
120,165
63,280
4,769
10,64690
11,68726
11,131634
15,82690
116,141
25,72105
0,64682
15,277834
88,399055
82,85
42,19908
15,127380
0,296096
161,530915
0,398818
21,82693
71,809
11,14161
4,240
6,14
130,70981
6,37799
28,166426
144,546554
6,489
86,216015
21,350
4,103
83,332562
62,228150
11,1724
97,23483
43,2048
10,6977
112,61791
198,161
65,745
57,111
10,146233
6,73
22,138843
0,222935
0,11036
12,76203
130,62
63,49530
7,812
13,490132
53,38757
35,8358
11,36657
126,93456
96,9502
11,1858
56,601
9,8681
55,351286
29,115
112,119450
6,207
101,338952
9,562
193,291805
23,771
55,604
15,953
0,266856
10,242582
26,82992
11,75612
25,310
6,13223
26,168259
15,211672
66,36557
55,18
0,12405
53,62211
105,51876
66,206647
6,84892
101,8844
11,76600
101,411
55,2080
10,1359
2,45243
117,58574
26,337339
26,458156
28,293167
120,196
122,41154
55,294254
48,600
97,495764
24,64688
6,510
63,59967
10,629
45,1949
158,787
30,343668
145,578
181,1593
55,262500
0,453
180,508442
130,438631
4,359940
11,36658
72,854
192,283366
94,652
21,19913
142,197
11,13475
82,89
11,497698
50,539
106,392044
183,608
50,405774
66,56292
26,9799
28,791373
11,580489
4,641
6,1402
55,605
71,301528
15,950
63,399566
71,330457
11,181812
35,5915
4,627
55,36668
125,76170
12,381284
44,8960
96,82702
27,10674
122,454626
11,602
6,70
6,316029
25,287947
125,9738
63,679
63,577922
150,515001
136,17654
5,264644
80,772
14,591
188,2501
88,18239
180,568124
65,9741
11,54138
47,414906
15,9487
117,47971
29,337404
82,87
43,13183
140,9479
28,566525
11,399579
43,124905
88,50620
48,423
28,564
41,176
13,318846
71,810
29,107
29,138832
192,50619
88,24021
112,68724
187,3933
82,177677
12,45269
26,156022
25,620
2,109439
66,954
20,466282
180,76492
46,254128
48,281338
109,474350
17,300668
105,180
12,152532
28,453395
11,8373
148,512200
2,10625
11,348350
55,87101
49,158015
13,391713
26,273481
28,464052
104,126889
112,450465
0,537915
88,122906
24,402900
21,50646
22,259693
12,314365
42,747
5,68734
11,330
11,38356
55,74
0,744
105,45612
30,436969
15,8355
105,63
166,278927
15,328111
120,550988
6,389
82,217
71,508943
43,315837
11,91314
26,51497
43,39254
26,38700
59,361743
24,339846
26,187
6,50014
82,353081
0,337167
166,58595
11,524434
48,28
13,2108
24,187017
126,335797
43,198184
55,435
126,35
38,406997
20,50544
0,4348
21,4951
28,1979
81,333371
20,114
11,121856
171,256591
55,95
117,10764
28,338970
140,10144
99,254
109,22970
10,275
55,106
0,341174
172,137
1,9552
13,594
71,137106
24,290250
102,646380
66,27578
5,340666
197,22538
97,268
55,336843
0,1366
188,2503
20,2105
15,49013
148,116745
122,257344
15,57800
58,487558
75,345940
159,44115
15,404368
46,1372
11,339964
46,2502
191,359724
101,32657
140,14836
59,312221
24,4638
20,454983
22,300669
25,214756
90,1954
36,493922
140,408
72,59436
71,11970
4,168672
105,395992
55,44912
26,584
148,223702
36,458723
87,44826
20,621
25,62213
71,10192
71,502356
21,7326
0,153
198,163
166,587
20,1824
79,13804
33,65
18,8871
12,363676
126,295693
88,150689
117,385128
68,83542
11,20526
6,376867
2,8363
30,384018
96,49519
59,96721
55,331
110,158852
2,195589
26,8909
96,324852
154,328387
57,949
37,14574
11,427641
63,7191
44,561
162,9339
25,616037
13,773
112,9693
79,75780
2,37735
6,492188
47,65754
28,1734
0,142
46,109424
